Order ID,MenuID,Customer ID,Sales,Quantity
00-008-3271,333,50-245-9029,465,2
00-283-3544,545,07-369-4272,104.07,2
00-350-1396,214,39-459-6791,125.985,1
00-451-8857,466,11-253-6502,337.5,1
00-465-7031,27,84-300-6499,465,3
00-618-9205,984,49-449-2339,125.985,3
00-669-6040,71,38-206-8901,285,2
00-799-3091,648,46-324-1886,152.4,3
00-822-8333,784,40-189-3632,199.755,3
00-965-9450,821,63-784-1408,252.405,2
01-062-3384,826,72-073-0415,66.855,1
01-423-8434,131,84-031-0794,112.5,3
01-715-3869,387,85-164-1355,137.76,3
01-733-5889,962,32-395-2589,125.985,1
01-754-7255,577,97-850-3306,285,2
01-855-8188,243,68-435-7756,480,3
01-877-6020,631,07-280-9648,78.12,2
01-879-8004,768,27-611-0020,352.5,3
01-975-7149,28,93-913-0650,337.5,3
01-981-5069,197,85-779-8174,112.5,2
02-211-2785,587,68-296-9308,78.12,3
02-266-1313,85,81-286-3465,187.5,2
02-311-4674,998,58-358-2956,186.93,1
02-569-3156,438,51-678-5620,352.5,1
02-699-8406,487,09-563-6732,465,2
02-715-2965,907,59-575-5435,285,3
02-732-6800,867,95-863-7435,216.135,3
02-938-1657,70,25-492-4931,337.5,1
03-039-5845,619,50-471-6999,465,3
03-132-2890,365,44-057-4911,137.76,2
03-248-8148,638,48-890-3098,330,1
03-297-4257,423,46-176-6402,285,2
03-464-8128,352,66-302-7863,330,3
03-555-7951,967,80-277-5556,112.5,2
03-568-8174,789,82-729-5605,187.5,2
03-825-5219,125,36-854-2948,78.12,2
03-893-8767,286,27-609-7148,330,1
03-955-4532,914,33-530-9357,66.855,1
04-003-4647,377,57-924-8318,465,2
04-238-9179,746,13-951-6935,352.5,1
04-546-8049,319,71-674-3925,139.695,2
04-743-8019,150,80-273-1248,179.7,1
04-812-8753,23,84-136-7752,112.5,2
04-904-4552,255,93-077-9628,137.76,2
04-911-6551,383,72-364-9120,216.135,2
04-976-7880,425,18-234-4252,252.405,2
05-024-1112,708,57-799-5797,337.5,3
05-318-1801,790,77-869-4945,352.5,1
05-378-2914,575,08-417-0042,465,2
05-410-4163,16,75-558-6855,199.755,3
05-822-0829,742,67-467-1171,125.985,1
05-825-9260,66,36-854-2570,330,1
05-971-9045,903,54-536-6254,480,2
05-982-4967,367,91-165-1485,78.12,2
06-075-0174,904,29-219-2253,315,3
06-416-0671,469,81-541-0260,252.405,2
06-457-9925,142,80-328-3018,152.4,1
06-605-4865,937,52-201-2191,137.76,2
06-705-6026,500,77-585-5912,125.985,3
06-887-6332,195,52-934-7220,187.5,3
06-934-9396,229,14-968-9727,216.135,2
07-113-3748,108,82-632-3278,352.5,3
07-116-3515,149,21-903-1493,104.07,2
07-143-9471,741,21-383-0942,78.12,2
07-244-2129,301,76-263-1020,78.12,2
07-275-2696,442,64-337-3586,315,1
07-312-6026,751,42-547-8958,465,2
07-322-4153,180,73-175-9496,337.5,3
07-634-6294,223,58-341-8825,465,2
07-808-6932,410,34-874-3361,199.755,1
08-152-8962,55,75-652-8475,139.695,2
08-270-7581,15,56-479-7571,137.76,2
08-309-3649,376,90-874-3974,315,3
08-316-6754,501,21-667-2874,104.07,2
08-483-5677,252,29-581-4956,152.4,3
08-659-6030,173,68-700-9823,187.5,2
08-660-0159,310,07-795-8092,315,1
08-855-8354,358,30-273-7602,147,1
08-940-9111,507,95-643-4919,480,3
09-019-6593,64,60-742-1416,352.5,3
09-058-1844,360,15-509-1414,186.93,3
09-185-3204,762,07-667-2054,199.755,1
09-229-1754,640,81-464-9164,315,3
09-440-5820,405,98-044-8929,216.135,2
09-481-5023,795,44-900-5794,465,3
09-522-5385,576,83-660-8060,337.5,3
09-896-5300,151,10-502-1445,187.5,2
09-923-6077,520,56-311-7903,199.755,3
10-030-5503,845,09-685-7250,216.135,2
10-052-8149,21,37-285-0504,187.5,2
10-120-0016,422,45-612-9855,337.5,1
10-141-0121,780,20-910-8042,152.4,3
10-150-2658,726,18-907-7870,330,1
10-370-7784,397,01-169-3967,480,2
10-390-3471,111,55-534-3489,480,2
10-462-2908,855,98-667-2397,187.5,2
10-621-7662,470,09-732-9826,186.93,1
10-638-5334,730,47-474-8927,337.5,1
10-814-8054,449,61-104-0525,216.135,2
11-146-3342,993,82-442-4503,465,2
11-244-2193,628,71-643-1944,66.855,3
11-397-2150,179,99-109-2353,465,3
11-446-2659,432,83-395-8326,199.755,3
11-463-8439,430,76-937-0622,66.855,1
11-486-8739,814,41-226-8734,330,1
11-645-0948,897,41-128-9654,104.07,2
11-648-9765,437,84-440-9751,187.5,2
11-700-3520,433,39-327-8322,78.12,2
11-741-2205,294,38-921-3385,186.93,1
11-769-7584,427,50-079-2328,216.135,3
11-776-8532,882,03-754-8064,315,1
11-821-0545,591,01-608-1032,187.5,2
11-835-2932,196,00-435-7006,352.5,3
11-858-8042,602,16-138-8056,186.93,1
11-997-6382,824,48-853-9332,152.4,3
12-128-2576,124,17-656-8981,199.755,3
